transaction_date,day_of_week,city,lat,long,transaction_type,description,detailed_notes,category,subcategory,amount_USD,amount_ARS,ARS/USD,Questions
2/9/24,Friday,Buenos Aires,-34.6037,-58.3816,credit,MEZCAL 8668,lunch,Dining,,15.75,17000.00,,
2/9/24,Friday,Bariloche,-41.1343,-71.3085,credit,JETSMARTECOM000000000000-,flight,Transportation,,53.53,,,
2/9/24,Friday,Mendoza,-32.8895,-68.8458,credit,JETSMARTECOM000000000000-,flight,Transportation,,90.78,,,
2/10/24,Saturday,Buenos Aires,-34.6037,-58.3816,cash,bread,bread,Groceries,,1.22,1450.00,,estimate usd
2/10/24,Saturday,Buenos Aires,-34.6037,-58.3816,cash,produce,produce,Groceries,,10.51,12540.00,,estimate usd
2/10/24,Saturday,Buenos Aires,-34.6037,-58.3816,credit,RAPPI ARG S.A.S.,burrito place,Dining,,14.18,15299.50,,
2/10/24,Saturday,Buenos Aires,-34.6037,-58.3816,credit,Market Palermo (Soler4415,groceries,Groceries,,24.34,26259.23,,
2/11/24,Sunday,Buenos Aires,-34.6037,-58.3816,cash,dia alc,alc,Entertainment,Alcohol,2.73,3260.00,,estimate usd
2/11/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,MERCADOPAGO*NIEVACAFE1942,brunch,Dining,,14.09,15200.00,,
2/11/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,Market Palermo (Soler4415,groceries,Groceries,,20.62,22252.00,,
2/11/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,COTO 056 3028,groceries,Groceries,,82.58,89104.11,,
2/12/24,Monday,Buenos Aires,-34.6037,-58.3816,debit,carrefour,groceries,Groceries,,3.10,3700.16,,estimate usd
2/13/24,Tuesday,Buenos Aires,-34.6037,-58.3816,credit,RAPPI ARG S.A.S.,snacks,Snacks,,7.56,8157.82,,
2/14/24,Wednesday,Buenos Aires,-34.6037,-58.3816,cash,sprite and gatorade,sprite and gatorade,Snacks,,2.68,3200.00,,estimate usd
2/14/24,Wednesday,Buenos Aires,-34.6037,-58.3816,credit,RAPPI ARG S.A.S.,ice cream,Snacks,,2.74,2864.50,,
2/14/24,Wednesday,Buenos Aires,-34.6037,-58.3816,cash,flowers,flowers,Misc,,8.38,10000.00,,estimate usd
2/14/24,Wednesday,Buenos Aires,-34.6037,-58.3816,credit,RAPPI ARG S.A.S.,pizza place,Dining,,24.59,26529.55,,
2/15/24,Thursday,Buenos Aires,-34.6037,-58.3816,debit,coto,alc,Entertainment,Alcohol,21.02,25074.21,,estimate usd
2/16/24,Friday,Buenos Aires,-34.6037,-58.3816,credit,TIENDA OUTDOOR 9735,backpack,Misc,,8.88,9000.00,,
2/16/24,Friday,Buenos Aires,-34.6037,-58.3816,credit,MERCADOPAGO*UBUCAFE 1942,lunch,Dining,,13.61,13800.00,,
2/16/24,Friday,Buenos Aires,-34.6037,-58.3816,credit,DEPORCAMPING 2369,pants,Misc,,29.59,30000.00,,
2/17/24,Saturday,Buenos Aires,-34.6037,-58.3816,credit,WWW CLARO.COM 7834,phone charge,Misc,,3.00,,,
2/17/24,Saturday,Buenos Aires,-34.6037,-58.3816,credit,UBER 9429,uber trip,Transportation,,5.65,5644.00,,
2/17/24,Saturday,Buenos Aires,-34.6037,-58.3816,cash,izzy eye brows,izzy eye brows,Misc,,5.87,7000.00,,estimate usd
2/17/24,Saturday,Buenos Aires,-34.6037,-58.3816,cash,spritz amd mojito,spritz amd mojito,Entertainment,Alcohol,7.63,9100.00,,estimate usd
2/17/24,Saturday,Buenos Aires,-34.6037,-58.3816,credit,CUERVO CAFE,coffee and pastries,Snacks,Coffee,13.42,,,
2/17/24,Saturday,Buenos Aires,-34.6037,-58.3816,credit,544447*BRESH_VISA 8149,bresh tickets,Excursion,,20.73,,,
2/17/24,Saturday,Buenos Aires,-34.6037,-58.3816,cash,meat dinner,meat dinner,Dining,,20.96,25000.00,,estimate usd
2/17/24,Saturday,Buenos Aires,-34.6037,-58.3816,credit,DIVA MUFFIN ZAPPA,Dining,Dining,,34.04,,,
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,cash,alc tip,alc tip,Entertainment,Alcohol,0.42,500.00,,estimate usd
2/18/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,UBER 9429,uber trip,Transportation,,3.14,3132.00,,
